run,mejor_valor,n_switches
1,2027.3240990213944,14
2,2027.666102124393,11
3,2024.1985304030832,10
4,2032.7923521982207,10
5,2022.257716764087,10
6,2023.7036565972874,9
7,2035.6363355782275,18
8,2022.5820199976592,14
9,2033.1104859489644,12
10,2032.0903566534469,9
11,2025.937113510255,17
12,2028.665434983987,8
13,2024.494276941569,12
14,2028.4558290816751,8
15,2035.0782654275356,9
16,2024.484297122145,9
17,2034.9812911365552,13
18,2027.0316277902557,9
19,2032.320435295502,17
20,2038.3287142472243,7
21,2041.5031315852957,17
22,2021.7408332481782,9
23,2026.6072637482462,8
24,2035.0235988174811,11
25,2010.8354131486078,11
26,2023.6471754044064,9
27,2032.4192833964776,13
28,2026.0251208932186,13
29,2022.8562493386473,8
30,2031.7894744151156,9
31,2022.7870778880092,13
